U
238.0289 (A)
19.05 (g/cm3)
 (Energy (eV),f1,f2)    U(z=92)
       12020.800        87.213000        8.1386300
       12215.300        87.164200        7.9251100
       12412.800        87.107600        7.7165200
       12613.600        87.043100        7.5127300
       12817.600        86.970600        7.3136900
       13025.000        86.889600        7.1192900
       13235.600        86.799700        6.9294400
       13449.700        86.700400        6.7440700
       13667.200        86.590900        6.5630700
       13888.300        86.470100        6.3863800
       14112.900        86.336700        6.2138900
       14341.200        86.189100        6.0455300
       14573.100        86.025000        5.8812000
       14808.900        85.841400        5.7208400
       15048.400        85.634200        5.5643400
       15291.800        85.397800        5.4116400
       15539.100        85.123800        5.2626500
       15790.400        84.799300        5.1172800
       16045.800        84.402800        4.9754700
       16305.400        83.895200        4.8371200
       16569.100        83.191500        4.7021800
       16837.100        82.043800        4.5705500
       17109.400        78.618400        4.4421700
       17166.200        65.976700        4.4161000
       17166.400        65.977000        10.691800
       17386.100        81.441900        10.463800
       17667.400        83.105700        10.183000
       17953.100        83.980500        9.9098400
       18243.500        84.546800        9.6439800
       18538.600        84.937700        9.3852600
       18838.400        85.207100        9.1334800
       19143.100        85.379300        8.8884700
       19452.700        85.462600        8.6500400
       19767.400        85.451400        8.4180100
       20087.100        85.319700        8.1922100
       20412.000        84.990800        7.9724700
       20742.100        84.138800        7.7586400
       20947.500        76.574400        7.6301600
       20947.700        76.575000        10.816200
       21077.600        83.748200        10.713000
       21418.500        84.975300        10.449700
       21757.300        82.420600        10.198500
       21757.500        82.421600        11.581300
       21765.000        84.116900        11.575800
       22117.000        86.243300        11.318000
       22474.700        86.958100        11.063800
       22838.200        87.481100        10.813200
       23207.600        87.904100        10.566500
       23583.000        88.261600        10.323500
       23964.400        88.571300        10.084500
       24352.000        88.844100        9.8494400
       24745.900        89.086900        9.6183400
       25146.200        89.304800        9.3912400
       25552.900        89.501300        9.1681800
       25966.200        89.679300        8.9491500
       26386.100        89.841100        8.7341700
       26812.900        89.988500        8.5232400
       27246.600        90.123000        8.3163500
       27687.300        90.245800        8.1134900
       28135.100        90.358200        7.9146500
       28590.200        90.461100        7.7198000
       29052.600        90.556400        7.5289200
       29522.500        90.662100        7.3419700
       30000.000        90.660300        7.1589400
       30100.000        90.482200        6.6698700
       30200.000        90.495600        6.6351800
       30300.000        90.508600        6.6004800
       30400.000        90.521300        6.5657800
       30500.000        90.533700        6.5322400
       30600.000        90.545900        6.4987000
       30700.000        90.557700        6.4651600
       30800.000        90.569400        6.4316200
       30900.000        90.580700        6.3991900
       31000.000        90.591800        6.3667500
       31100.000        90.602700        6.3343100
       31200.000        90.613400        6.3018800
       31350.000        90.629100        6.2546200
       31420.000        90.636200        6.2325700
       31500.000        90.644500        6.2073600
       31600.000        90.654500        6.1763300
       31700.000        90.664100        6.1453000
       31800.000        90.673500        6.1142600
       31900.000        90.682600        6.0832300
       32000.000        90.691400        6.0532000
       32100.000        90.700100        6.0231600
       32200.000        90.708500        5.9931200
       32300.000        90.716700        5.9630900
       32450.000        90.728700        5.9192900
       32600.000        90.740300        5.8755000
       32800.000        90.755100        5.8187100
       33000.000        90.769500        5.7619100
       33100.000        90.776600        5.7340700
       33200.000        90.783300        5.7062300
       33300.000        90.789800        5.6784000
       33400.000        90.796100        5.6505600
       33600.000        90.808100        5.5966000
       33800.000        90.819500        5.5426500
       33950.000        90.827700        5.5032300
       34100.000        90.835700        5.4638100
       34300.000        90.845400        5.4125500
       34500.000        90.854800        5.3612800
       34700.000        90.863500        5.3115500
       34900.000        90.871700        5.2618200
       35100.000        90.879400        5.2136800
       35300.000        90.886700        5.1655400
       35500.000        90.893600        5.1188500
       35700.000        90.900100        5.0721500
       35900.000        90.906200        5.0266900
       36030.000        90.910000        4.9971400
       36300.000        90.917400        4.9375300
       36500.000        90.922400        4.8933700
       36800.000        90.929400        4.8293900
       37000.000        90.933700        4.7867400
       37300.000        90.939600        4.7249900
       37500.000        90.943100        4.6838300
       37800.000        90.948000        4.6242000
       38000.000        90.950900        4.5844400
       38300.000        90.954800        4.5269400
       38500.000        90.957100        4.4886100
       38800.000        90.960300        4.4330300
       39000.000        90.962200        4.3959800
       39500.000        90.966200        4.3064100
       39800.000        90.968300        4.2544100
       40000.000        90.969600        4.2197500
       40400.000        90.971600        4.1523000
       40800.000        90.972500        4.0848400
       41100.000        90.972700        4.0366500
       41500.000        90.972400        3.9724000
       41900.000        90.971400        3.9111400
       42300.000        90.970000        3.8498800
       42600.000        90.968600        3.8060400
       43000.000        90.966400        3.7475800
       43400.000        90.963800        3.6914600
       43800.000        90.960700        3.6353500
       44100.000        90.958000        3.5951300
       44500.000        90.954200        3.5415100
       44900.000        90.950000        3.4902200
       45300.000        90.945500        3.4389300
       46000.000        90.936900        3.3530100
       46500.000        90.930400        3.2937200
       47000.000        90.923400        3.2361000
       47500.000        90.916100        3.1808600
       48000.000        90.908600        3.1256100
       49000.000        90.892800        3.0210500
       49500.000        90.884700        2.9708600
       50000.000        90.876500        2.9220000
       50500.000        90.868100        2.8745500
       51000.000        90.859400        2.8271000
       51500.000        90.850500        2.7820700
       52000.000        90.841300        2.7370400
       53000.000        90.822500        2.6514900
       54000.000        90.803200        2.5701300
       55000.000        90.783600        2.4927000
       56000.000        90.763800        2.4186200
       56800.000        90.747600        2.3618500
       57530.000        90.732700        2.3118800
       58000.000        90.723000        2.2805900
       58500.000        90.712700        2.2480500
       59540.000        90.691200        2.1826900
       59800.000        90.685900        2.1668200
       60000.000        90.681700        2.1547400
       60800.000        90.665100        2.1072400
       61500.000        90.650500        2.0670300
       62300.000        90.633700        2.0225500
       63000.000        90.618900        1.9848700
       64000.000        90.597800        1.9329600
       65000.000        90.576700        1.8831700
       65900.000        90.557600        1.8399600
       66830.000        90.537800        1.7969400
       67400.000        90.525700        1.7713500
       67900.000        90.515000        1.7493900
       69041.000        90.490700        1.7008600
       69500.000        90.480900        1.6819400
       70000.000        90.470200        1.6617000
       71000.000        90.448600        1.6222400
       72000.000        90.426900        1.5842400
       73500.000        90.394500        1.5298400
       74960.000        90.363000        1.4796900
       75500.000        90.351100        1.4618000
       76000.000        90.340100        1.4455400
       77110.000        90.315600        1.4104600
       78600.000        90.282500        1.3654500
       79300.000        90.266800        1.3450900
       80000.000        90.251000        1.3252000
       81500.000        90.216700        1.2839900
       83000.000        90.181800        1.2447800
       84000.000        90.158200        1.2196800
       85000.000        90.134100        1.1953800
       86500.000        90.097300        1.1603400
       88000.000        90.059400        1.1269100
       89000.000        90.033500        1.1054600
       90000.000        90.007000        1.0846500
       91500.000        89.965900        1.0545300
       93000.000        89.922900        1.0257100
       94000.000        89.893100        1.0071900
       95000.000        89.862300       0.98919400
       95800.000        89.836700       0.97529800
       96500.000        89.813700       0.96313900
       97300.000        89.786500       0.94981500
       98000.000        89.761900       0.93815700
       98500.000        89.743800       0.93011300
       99000.000        89.725300       0.92206900
       99500.000        89.706300       0.91424200
       100000.00        89.686700       0.90641400
